tanggal,pasar,curah_hujan_mm,suhu_avg,suhu_max,suhu_min
2024-08-22,Pasar Margahayu,0.2,25.4,32.3,20.2
2024-08-23,Pasar Margahayu,0.1,25.0,31.9,18.7
2024-08-24,Pasar Margahayu,0.0,23.9,32.2,15.8
2024-08-25,Pasar Margahayu,0.0,23.7,32.0,15.4
2024-08-26,Pasar Margahayu,0.0,24.5,32.2,17.0
2024-08-27,Pasar Margahayu,0.0,23.8,31.9,16.6
2024-08-28,Pasar Margahayu,0.0,24.0,32.5,14.8
2024-08-29,Pasar Margahayu,0.2,24.2,31.0,18.7
2024-08-30,Pasar Margahayu,0.0,24.1,31.7,16.4
2024-08-31,Pasar Margahayu,0.0,24.4,31.5,17.0
2024-09-01,Pasar Margahayu,0.2,25.5,31.4,18.8
2024-09-02,Pasar Margahayu,0.2,26.1,33.2,20.0
2024-09-03,Pasar Margahayu,0.0,25.1,33.6,17.2
2024-09-04,Pasar Margahayu,0.0,25.1,33.3,17.7
2024-09-05,Pasar Margahayu,3.9,24.2,31.7,18.5
2024-09-06,Pasar Margahayu,0.0,25.3,32.5,18.4
2024-09-07,Pasar Margahayu,0.0,24.4,32.4,17.9
2024-09-08,Pasar Margahayu,1.3,24.7,32.1,18.3
2024-09-09,Pasar Margahayu,3.9,24.0,30.5,19.5
2024-09-10,Pasar Margahayu,10.4,23.3,27.1,18.6
2024-09-11,Pasar Margahayu,6.2,23.9,28.6,21.0
2024-09-12,Pasar Margahayu,0.6,24.1,29.7,19.0
2024-09-13,Pasar Margahayu,0.0,22.4,29.9,16.4
2024-09-14,Pasar Margahayu,0.0,22.2,29.8,14.9
2024-09-15,Pasar Margahayu,0.0,22.7,29.8,14.6
2024-09-16,Pasar Margahayu,0.0,22.4,30.8,13.6
2024-09-17,Pasar Margahayu,0.0,22.5,30.5,13.9
2024-09-18,Pasar Margahayu,0.0,22.5,30.6,12.7
2024-09-19,Pasar Margahayu,0.0,23.1,30.9,13.4
2024-09-20,Pasar Margahayu,0.0,23.9,31.5,15.8
2024-09-21,Pasar Margahayu,0.0,25.2,31.6,18.1
2024-09-22,Pasar Margahayu,1.4,25.4,32.2,19.2
2024-09-23,Pasar Margahayu,3.6,24.9,28.7,22.0
2024-09-24,Pasar Margahayu,3.2,23.3,27.8,19.6
2024-09-25,Pasar Margahayu,6.5,24.0,30.8,18.8
2024-09-26,Pasar Margahayu,0.3,23.8,30.2,18.4
2024-09-27,Pasar Margahayu,0.3,25.0,31.3,18.8
2024-09-28,Pasar Margahayu,0.4,24.4,31.3,19.0
2024-09-29,Pasar Margahayu,3.1,23.9,30.9,18.2
2024-09-30,Pasar Margahayu,0.0,25.5,31.8,18.5
2024-10-01,Pasar Margahayu,1.4,24.9,31.7,18.3
2024-10-02,Pasar Margahayu,4.3,24.2,30.1,19.3
2024-10-03,Pasar Margahayu,3.2,23.9,31.1,18.5
2024-10-04,Pasar Margahayu,1.7,23.9,30.9,18.4
2024-10-05,Pasar Margahayu,1.2,23.6,30.9,17.4
2024-10-06,Pasar Margahayu,1.7,23.5,30.7,18.2
2024-10-07,Pasar Margahayu,0.0,25.1,32.7,18.2
2024-10-08,Pasar Margahayu,0.0,25.1,32.3,17.4
2024-10-09,Pasar Margahayu,0.4,25.5,32.5,19.5
2024-10-10,Pasar Margahayu,3.4,24.0,32.0,18.5
2024-10-11,Pasar Margahayu,0.8,25.9,32.2,18.8
