tanggal,kurs_usd_idr
2024-08-22,15631.0
2024-08-23,15559.0
2024-08-24,15559.0
2024-08-25,15559.0
2024-08-26,15441.0
2024-08-27,15543.0
2024-08-28,15427.0
2024-08-29,15407.0
2024-08-30,15496.0
2024-08-31,15496.0
2024-09-01,15496.0
2024-09-02,15541.0
2024-09-03,15560.0
2024-09-04,15499.0
2024-09-05,15419.0
2024-09-06,15414.0
2024-09-07,15414.0
2024-09-08,15414.0
2024-09-09,15470.0
2024-09-10,15454.0
2024-09-11,15412.0
2024-09-12,15438.0
2024-09-13,15407.0
2024-09-14,15407.0
2024-09-15,15407.0
2024-09-16,15366.0
2024-09-17,15336.0
2024-09-18,15311.0
2024-09-19,15170.0
2024-09-20,15162.0
2024-09-21,15162.0
2024-09-22,15162.0
2024-09-23,15187.0
2024-09-24,15177.0
2024-09-25,15118.0
2024-09-26,15131.0
2024-09-27,15109.0
2024-09-28,15109.0
2024-09-29,15109.0
2024-09-30,15163.0
2024-10-01,15198.0
2024-10-02,15278.0
2024-10-03,15468.0
2024-10-04,15564.0
2024-10-05,15564.0
2024-10-06,15564.0
2024-10-07,15717.0
2024-10-08,15647.0
2024-10-09,15634.0
2024-10-10,15703.0
2024-10-11,15581.0
2024-10-12,15581.0
2024-10-13,15581.0
2024-10-14,15593.0
2024-10-15,15525.0
2024-10-16,15526.0
2024-10-17,15510.0
2024-10-18,15492.0
2024-10-19,15492.0
2024-10-20,15492.0
2024-10-21,15495.0
2024-10-22,15565.0
2024-10-23,15671.0
2024-10-24,15580.0
2024-10-25,15685.0
2024-10-26,15685.0
2024-10-27,15685.0
2024-10-28,15729.0
2024-10-29,15772.0
2024-10-30,15688.0
2024-10-31,15720.0
2024-11-01,15739.0
2024-11-02,15739.0
2024-11-03,15739.0
2024-11-04,15766.0
2024-11-05,15766.0
2024-11-06,15874.0
2024-11-07,15660.0
2024-11-08,15598.0
2024-11-09,15598.0
2024-11-10,15598.0
2024-11-11,15726.0
2024-11-12,15795.0
2024-11-13,15727.0
2024-11-14,15954.0
2024-11-15,15884.0
2024-11-16,15884.0
2024-11-17,15884.0
2024-11-18,15858.0
2024-11-19,15844.0
2024-11-20,15897.0
2024-11-21,15897.0
2024-11-22,15914.0
2024-11-23,15914.0
2024-11-24,15914.0
2024-11-25,15867.0
2024-11-26,15878.0
2024-11-27,15863.0
2024-11-28,15875.0
2024-11-29,15863.0
2024-11-30,15863.0
2024-12-01,15863.0
2024-12-02,15898.0
2024-12-03,15933.0
2024-12-04,15924.0
2024-12-05,15855.0
2024-12-06,15824.0
2024-12-07,15824.0
2024-12-08,15824.0
2024-12-09,15878.0
2024-12-10,15873.0
2024-12-11,15932.0
2024-12-12,15964.0
2024-12-13,16020.0
2024-12-14,16020.0
2024-12-15,16020.0
2024-12-16,16022.0
2024-12-17,16138.0
2024-12-18,16110.0
2024-12-19,16314.0
2024-12-20,16230.0
2024-12-21,16230.0
2024-12-22,16230.0
2024-12-23,16182.0
2024-12-24,16203.0
2024-12-25,16203.0
2024-12-26,16203.0
2024-12-27,16218.0
2024-12-28,16218.0
2024-12-29,16218.0
2024-12-30,16163.0
2024-12-31,16191.0
2025-01-01,16191.0
2025-01-02,16207.0
2025-01-03,16219.0
2025-01-04,16219.0
2025-01-05,16219.0
2025-01-06,16147.0
2025-01-07,16160.0
2025-01-08,16255.0
2025-01-09,16200.0
2025-01-10,16189.0
2025-01-11,16189.0
2025-01-12,16189.0
2025-01-13,16318.0
2025-01-14,16309.0
2025-01-15,16381.0
2025-01-16,16407.0
2025-01-17,16398.0
2025-01-18,16398.0
2025-01-19,16398.0
2025-01-20,16390.0
2025-01-21,16339.0
2025-01-22,16211.0
2025-01-23,16240.0
2025-01-24,16139.0
2025-01-25,16139.0
2025-01-26,16139.0
2025-01-27,16151.0
2025-01-28,16225.0
2025-01-29,16240.0
2025-01-30,16247.0
2025-01-31,16300.0
2025-02-01,16300.0
2025-02-02,16300.0
2025-02-03,16415.0
2025-02-04,16318.0
2025-02-05,16315.0
2025-02-06,16355.0
2025-02-07,16318.0
2025-02-08,16318.0
2025-02-09,16318.0
2025-02-10,16345.0
2025-02-11,16367.0
2025-02-12,16349.0
2025-02-13,16386.0
2025-02-14,16205.0
2025-02-15,16205.0
2025-02-16,16205.0
2025-02-17,16226.0
2025-02-18,16338.0
2025-02-19,16371.0
2025-02-20,16290.0
2025-02-21,16319.0
2025-02-22,16319.0
2025-02-23,16319.0
2025-02-24,16286.0
2025-02-25,16348.0
2025-02-26,16375.0
2025-02-27,16453.0
2025-02-28,16548.0
2025-03-01,16548.0
2025-03-02,16548.0
2025-03-03,16451.0
2025-03-04,16414.0
2025-03-05,16362.0
2025-03-06,16368.0
2025-03-07,16270.0
2025-03-08,16270.0
2025-03-09,16270.0
2025-03-10,16357.0
2025-03-11,16438.0
2025-03-12,16470.0
2025-03-13,16435.0
2025-03-14,16358.0
2025-03-15,16358.0
2025-03-16,16358.0
2025-03-17,16379.0
2025-03-18,16512.0
2025-03-19,16526.0
2025-03-20,16510.0
2025-03-21,16511.0
2025-03-22,16511.0
2025-03-23,16511.0
2025-03-24,16559.0
2025-03-25,16565.0
2025-03-26,16613.0
2025-03-27,16585.0
2025-03-28,16588.0
2025-03-29,16588.0
2025-03-30,16588.0
2025-03-31,16637.0
2025-04-01,16743.0
2025-04-02,16716.0
2025-04-03,16714.0
2025-04-04,16958.0
2025-04-05,16958.0
2025-04-06,16958.0
2025-04-07,16952.0
2025-04-08,16916.0
2025-04-09,16944.0
2025-04-10,16835.0
2025-04-11,16855.0
2025-04-12,16855.0
2025-04-13,16855.0
2025-04-14,16810.0
2025-04-15,16854.0
2025-04-16,16799.0
2025-04-17,16868.0
2025-04-18,16868.0
2025-04-19,16868.0
2025-04-20,16868.0
2025-04-21,16868.0
2025-04-22,16842.0
2025-04-23,16876.0
2025-04-24,16852.0
2025-04-25,16854.0
2025-04-26,16854.0
2025-04-27,16854.0
2025-04-28,16812.0
2025-04-29,16758.0
2025-04-30,16620.0
2025-05-01,16620.0
2025-05-02,16444.0
2025-05-03,16444.0
2025-05-04,16444.0
2025-05-05,16434.0
2025-05-06,16418.0
2025-05-07,16517.0
2025-05-08,16502.0
2025-05-09,16537.0
2025-05-10,16537.0
2025-05-11,16537.0
2025-05-12,16659.0
2025-05-13,16660.0
2025-05-14,16536.0
2025-05-15,16526.0
2025-05-16,16462.0
2025-05-17,16462.0
2025-05-18,16462.0
