tanggal,pasar,komoditas,harga
2026-08-13,Pasar Margahayu,BAWANG BOMBAY,36000.0
2026-08-13,Pasar Margahayu,BAWANG DAUN,16000.0
2026-08-13,Pasar Margahayu,BAWANG MERAH,36000.0
2026-08-13,Pasar Margahayu,BAWANG MERAH BATU,
2026-08-13,Pasar Margahayu,BAWANG PUTIH BIASA,32000.0
2026-08-13,Pasar Margahayu,BAWANG PUTIH KATING,40000.0
2026-08-13,Pasar Margahayu,BAWANG SUMENEP,50000.0
2026-08-13,Pasar Margahayu,BAYAM,2500.0
2026-08-13,Pasar Margahayu,BERAS IR. 64,15000.0
2026-08-13,Pasar Margahayu,BERAS MEDIUM,14000.0
2026-08-13,Pasar Margahayu,BERAS PREMIUM,15500.0
2026-08-13,Pasar Margahayu,CABE HIJAU BIASA,40000.0
2026-08-13,Pasar Margahayu,CABE MERAH KERITING,50000.0
2026-08-13,Pasar Margahayu,CABE MERAH TANJUNG,90000.0
2026-08-13,Pasar Margahayu,CABE MERAH TW,50000.0
2026-08-13,Pasar Margahayu,CABE RAWIT HIJAU,60000.0
2026-08-13,Pasar Margahayu,CABE RAWIT MERAH,60000.0
2026-08-13,Pasar Margahayu,DAGING AYAM BROILER,44000.0
2026-08-13,Pasar Margahayu,DAGING AYAM KAMPUNG,
2026-08-13,Pasar Margahayu,DAGING SAPI IMPOR BEKU,
2026-08-13,Pasar Margahayu,DAGING SAPI LOKAL HAS DALAM,
2026-08-13,Pasar Margahayu,DAGING SAPI LOKAL HAS LUAR,140000.0
2026-08-13,Pasar Margahayu,DAGING SAPI LOKAL PAHA BELAKANG,140000.0
2026-08-13,Pasar Margahayu,DAGING SAPI LOKAL PAHA DEPAN,140000.0
2026-08-13,Pasar Margahayu,DAGING SAPI LOKAL SANDUNG LAMUR,130000.0
2026-08-13,Pasar Margahayu,DAGING SAPI LOKAL TETELAN,80000.0
2026-08-13,Pasar Margahayu,DAGING SAPI MURNI,140000.0
2026-08-13,Pasar Margahayu,GARAM BATA,35000.0
2026-08-13,Pasar Margahayu,GARAM HALUS YODIUM,2500.0
2026-08-13,Pasar Margahayu,GAS LPG 3 Kg,22000.0
2026-08-13,Pasar Margahayu,GULA MERAH,26000.0
2026-08-13,Pasar Margahayu,GULA PASIR GULA KU,19000.0
2026-08-13,Pasar Margahayu,GULA PASIR LOKAL,18000.0
2026-08-13,Pasar Margahayu,IKAN BANDENG,38000.0
2026-08-13,Pasar Margahayu,Ikan Bawal Air Tawar,30000.0
2026-08-13,Pasar Margahayu,Ikan Gurame,50000.0
2026-08-13,Pasar Margahayu,IKAN KEMBUNG,50000.0
2026-08-13,Pasar Margahayu,Ikan Lele,32000.0
