pasar,komoditas,tanggal_anchor,harga_terakhir,tanggal_target_h1,pred_model_h1,pred_baseline_h1,mae_model_hist_h1,mae_baseline_hist_h1,model_lebih_buruk_pct_h1,tanggal_target_h3,pred_model_h3,pred_baseline_h3,mae_model_hist_h3,mae_baseline_hist_h3,model_lebih_buruk_pct_h3,tanggal_target_h7,pred_model_h7,pred_baseline_h7,mae_model_hist_h7,mae_baseline_hist_h7,model_lebih_buruk_pct_h7
Pasar Baleendah,BAWANG BOMBAY,2026-09-10,35000.0,2026-09-11,35033,35000,619,484,28.0,2026-09-13,34793,35000,1251,979,27.7,2026-09-17,34770,35000,2000,1632,22.6
Pasar Banjaran,BAWANG BOMBAY,2026-09-09,32000.0,2026-09-10,32067,32000,619,484,28.0,2026-09-12,32079,32000,1251,979,27.7,2026-09-16,31522,32000,2000,1632,22.6
Pasar Baru Majalaya,BAWANG BOMBAY,2026-09-10,35000.0,2026-09-11,35030,35000,619,484,28.0,2026-09-13,34853,35000,1251,979,27.7,2026-09-17,34400,35000,2000,1632,22.6
Pasar Cileunyi,BAWANG BOMBAY,2026-09-10,28000.0,2026-09-11,28054,28000,619,484,28.0,2026-09-13,28142,28000,1251,979,27.7,2026-09-17,28106,28000,2000,1632,22.6
Pasar Ciwidey,BAWANG BOMBAY,2026-09-10,35000.0,2026-09-11,35002,35000,619,484,28.0,2026-09-13,34911,35000,1251,979,27.7,2026-09-17,34683,35000,2000,1632,22.6
Pasar Margahayu,BAWANG BOMBAY,2026-09-10,36000.0,2026-09-11,36033,36000,619,484,28.0,2026-09-13,35827,36000,1251,979,27.7,2026-09-17,35597,36000,2000,1632,22.6
Pasar Sehat Cicalengka,BAWANG BOMBAY,2026-09-10,35000.0,2026-09-11,35019,35000,619,484,28.0,2026-09-13,34845,35000,1251,979,27.7,2026-09-17,34481,35000,2000,1632,22.6
Pasar Sehat Soreang,BAWANG BOMBAY,2026-09-10,35000.0,2026-09-11,35039,35000,619,484,28.0,2026-09-13,34852,35000,1251,979,27.7,2026-09-17,34776,35000,2000,1632,22.6
Pasar Stasiun Majalaya,BAWANG BOMBAY,2026-09-10,38000.0,2026-09-11,38037,38000,619,484,28.0,2026-09-13,37724,38000,1251,979,27.7,2026-09-17,37496,38000,2000,1632,22.6
Pasar Baleendah,BAWANG DAUN,2026-09-10,15000.0,2026-09-11,14919,15000,619,484,28.0,2026-09-13,14660,15000,1251,979,27.7,2026-09-17,14509,15000,2000,1632,22.6
